Step      Time, msec          Direction      Init Position  Next Position  
1         0                   UP             (370,370)      (370,358)      
2         99                  DOWN           (370,358)      (370,370)      
3         199                 RIGHT          (370,370)      (382,370)      
4         299                 LEFT           (382,370)      (370,370)      
5         399                 RIGHT          (370,370)      (382,370)      
6         500                 LEFT           (382,370)      (370,370)      
7         599                 UP             (370,370)      (370,358)      
8         699                 LEFT           (370,358)      (358,358)      
9         799                 DOWN           (358,358)      (358,370)      
10        899                 DOWN           (358,370)      (358,382)      
11        999                 LEFT           (358,382)      (346,382)      
12        1099                RIGHT          (346,382)      (358,382)      
13        1199                DOWN           (358,382)      (358,394)      
14        1299                LEFT           (358,394)      (346,394)      
15        1399                UP             (346,394)      (346,382)      
16        1499                DOWN           (346,382)      (346,394)      
17        1601                DOWN           (346,394)      (346,406)      
18        1700                LEFT           (346,406)      (334,406)      
19        1800                DOWN           (334,406)      (334,418)      
20        1900                RIGHT          (334,418)      (346,418)      
21        2000                UP             (346,418)      (346,406)      
22        2100                LEFT           (346,406)      (334,406)      
23        2200                RIGHT          (334,406)      (346,406)      
24        2300                UP             (346,406)      (346,394)      
25        2400                RIGHT          (346,394)      (358,394)      
26        2500                DOWN           (358,394)      (358,406)      
27        2600                UP             (358,406)      (358,394)      
28        2700                UP             (358,394)      (358,382)      
29        2800                DOWN           (358,382)      (358,394)      
30        2900                LEFT           (358,394)      (346,394)      
31        3000                RIGHT          (346,394)      (358,394)      
32        3100                DOWN           (358,394)      (358,406)      
33        3200                DOWN           (358,406)      (358,418)      
34        3300                RIGHT          (358,418)      (370,418)      
35        3400                UP             (370,418)      (370,406)      
36        3500                DOWN           (370,406)      (370,418)      
37        3601                RIGHT          (370,418)      (382,418)      
38        3700                RIGHT          (382,418)      (394,418)      
39        3800                RIGHT          (394,418)      (406,418)      
40        3900                LEFT           (406,418)      (394,418)      
41        4000                RIGHT          (394,418)      (406,418)      
42        4100                LEFT           (406,418)      (394,418)      
43        4200                UP             (394,418)      (394,406)      
44        4300                RIGHT          (394,406)      (406,406)      
45        4400                RIGHT          (406,406)      (418,406)      
46        4500                LEFT           (418,406)      (406,406)      
47        4601                UP             (406,406)      (406,394)      
48        4700                LEFT           (406,394)      (394,394)      
49        4800                UP             (394,394)      (394,382)      
50        4900                UP             (394,382)      (394,370)      
51        5000                UP             (394,370)      (394,358)      
52        5100                LEFT           (394,358)      (382,358)      
53        5200                UP             (382,358)      (382,346)      
54        5300                UP             (382,346)      (382,334)      
55        5400                UP             (382,334)      (382,322)      
56        5500                UP             (382,322)      (382,310)      
57        5601                RIGHT          (382,310)      (394,310)      
58        5700                UP             (394,310)      (394,298)      
59        5800                DOWN           (394,298)      (394,310)      
60        5900                LEFT           (394,310)      (382,310)      
61        6000                RIGHT          (382,310)      (394,310)      
62        6100                LEFT           (394,310)      (382,310)      
63        6200                LEFT           (382,310)      (370,310)      
64        6300                DOWN           (370,310)      (370,322)      
65        6400                RIGHT          (370,322)      (382,322)      
66        6500                DOWN           (382,322)      (382,334)      
67        6601                LEFT           (382,334)      (370,334)      
68        6700                DOWN           (370,334)      (370,346)      
69        6800                LEFT           (370,346)      (358,346)      
70        6900                UP             (358,346)      (358,334)      
71        7000                DOWN           (358,334)      (358,346)      
72        7100                UP             (358,346)      (358,334)      
73        7200                UP             (358,334)      (358,322)      
74        7301                RIGHT          (358,322)      (370,322)      
75        7401                LEFT           (370,322)      (358,322)      
76        7501                LEFT           (358,322)      (346,322)      
77        7601                LEFT           (346,322)      (334,322)      
78        7700                DOWN           (334,322)      (334,334)      
79        7800                LEFT           (334,334)      (322,334)      
80        7900                LEFT           (322,334)      (310,334)      
81        8001                RIGHT          (310,334)      (322,334)      
82        8100                RIGHT          (322,334)      (334,334)      
83        8200                LEFT           (334,334)      (322,334)      
84        8300                RIGHT          (322,334)      (334,334)      
85        8401                UP             (334,334)      (334,322)      
86        8501                UP             (334,322)      (334,310)      
87        8601                LEFT           (334,310)      (322,310)      
88        8701                RIGHT          (322,310)      (334,310)      
89        8801                RIGHT          (334,310)      (346,310)      
90        8900                UP             (346,310)      (346,298)      
91        9001                UP             (346,298)      (346,286)      
92        9101                DOWN           (346,286)      (346,298)      
93        9200                LEFT           (346,298)      (334,298)      
94        9301                DOWN           (334,298)      (334,310)      
95        9401                LEFT           (334,310)      (322,310)      
96        9501                LEFT           (322,310)      (310,310)      
97        9601                UP             (310,310)      (310,298)      
98        9701                RIGHT          (310,298)      (322,298)      
99        9801                UP             (322,298)      (322,286)      
100       9901                UP             (322,286)      (322,274)      
101       10001               RIGHT          (322,274)      (334,274)      
102       10101               RIGHT          (334,274)      (346,274)      
103       10201               LEFT           (346,274)      (334,274)      
104       10301               LEFT           (334,274)      (322,274)      
105       10401               RIGHT          (322,274)      (334,274)      
106       10501               RIGHT          (334,274)      (346,274)      
107       10601               DOWN           (346,274)      (346,286)      
108       10701               UP             (346,286)      (346,274)      
109       10801               DOWN           (346,274)      (346,286)      
110       10901               DOWN           (346,286)      (346,298)      
111       11001               DOWN           (346,298)      (346,310)      
112       11101               UP             (346,310)      (346,298)      
113       11201               UP             (346,298)      (346,286)      
114       11301               LEFT           (346,286)      (334,286)      
115       11401               RIGHT          (334,286)      (346,286)      
116       11501               UP             (346,286)      (346,274)      
117       11601               LEFT           (346,274)      (334,274)      
118       11701               RIGHT          (334,274)      (346,274)      
119       11801               RIGHT          (346,274)      (358,274)      
120       11901               DOWN           (358,274)      (358,286)      
121       12001               UP             (358,286)      (358,274)      
122       12101               DOWN           (358,274)      (358,286)      
123       12201               UP             (358,286)      (358,274)      
124       12301               DOWN           (358,274)      (358,286)      
125       12401               DOWN           (358,286)      (358,298)      
126       12501               DOWN           (358,298)      (358,310)      
127       12601               LEFT           (358,310)      (346,310)      
128       12701               RIGHT          (346,310)      (358,310)      
129       12801               RIGHT          (358,310)      (370,310)      
